record_type,id,label,x,y,category,is_current,source,x_locator,x_evidence,y_locator,y_evidence,uncertainty,verification_status,placement_status
meta,variant_id,REPLACE: short variant slug,,,,,,,,,,,,
meta,title,REPLACE: scoped related-work positioning,,,,,,,,,,,,
meta,reader_question,REPLACE: question this view helps a reader answer,,,,,,,,,,,,
meta,takeaway,REPLACE: one-sentence interpretation,,,,,,,,,,,,
meta,caveat,REPLACE: what this view compresses or cannot establish,,,,,,,,,,,,
meta,recommendation,REPLACE: primary or secondary or exploratory,,,,,,,,,,,,
meta,x_axis_label,REPLACE: neutral X-axis construct,,,,,,,,,,,,
meta,x_low_label,REPLACE: X=0 endpoint,,,,,,,,,,,,
meta,x_high_label,REPLACE: X=100 endpoint,,,,,,,,,,,,
meta,y_axis_label,REPLACE: neutral Y-axis construct,,,,,,,,,,,,
meta,y_low_label,REPLACE: Y=0 endpoint,,,,,,,,,,,,
meta,y_high_label,REPLACE: Y=100 endpoint,,,,,,,,,,,,
meta,quadrant_top_left,REPLACE: neutral high-Y / low-X label,,,,,,,,,,,,
meta,quadrant_top_right,REPLACE: neutral high-Y / high-X label,,,,,,,,,,,,
meta,quadrant_bottom_left,REPLACE: neutral low-Y / low-X label,,,,,,,,,,,,
meta,quadrant_bottom_right,REPLACE: neutral low-Y / high-X label,,,,,,,,,,,,
meta,source_note,Point positions are approximate judgments grounded in saved full texts; audit the rationales in the adjacent CSV.,,,,,,,,,,,,
work,our-work,Our work,75,75,Current work,true,REPLACE: saved project artifact path or source ID,,REPLACE: concise rationale for the X placement,,REPLACE: concise rationale for the Y placement,Approximate communication placement,unverified,interpretive
work,related-work-1,Related work 1,25,25,"Same problem, different approach",false,REPLACE: saved full-text path or NotebookLM source ID,,REPLACE: concise rationale for the X placement,,REPLACE: concise rationale for the Y placement,Approximate communication placement,unverified,interpretive
